,web-scraper-order,Brand,Name,Model,Price,Average_Rating,Reviews,BatteryCapacity,Charging,Torch,Games,Messaging,Browser,Audio,Sensor,Data,NFC,USB,GPS,Bluetooth,WLAN,Front,Main,card,Built-In,Features,Protection,Resolution,Size,Technology,GPU,Chipset,CPU,4G Band,3G Band,2G Band,Color,SIM,Weight,Dimension,UI Build,Operating System,Unnamed: 42,as,Links-href,Name.1,Name-href,Avg_Rating,AverageRating,score
478,1541191796-937,QMobile,"QMobile
Noir Z12 Pro",Noir Z12 Pro,,4.3 stars,427.0,,,,,,,,,,,,,,,,,,,,,,"5.5 inches, 1920 x 1080 pixels

Sensors: G-sensor, E-Compass, motion, light, Gyro sensor, Fingerprint",HTML5,,,,LTE,,"Bluetooth v4.0 with A2DP, USB, WLAN (Wi-Fi 802.11 b/g/n, Wifi hotspot), GPRS, EDGE, 3G HSPA, 4G LTE",Various,"SIM1: 850 / 900 / 1800 / 1900

SIM2: 850 / 900 / 1800 / 1900",N/a,,,N/a,,,,,,4.3,4.3,3.8035614072954798
179,1541160653-234,G'Five,"GFive
President G6",President G6,74,4.2 stars,523.0,,,Yes,Built-in,"SMS, MMS, Email, IM",HTML 5,"3.5mm audio jack, Speakerphone",,"GPRS, 3G",No,Yes,No,Yes,,VGA,,,Wi-Fi 802.11 b/g,,,540 x 960 pixels,5.0 inches,"4 GB built-in, 1 GB RAM",MALI-400MP,MTK6582M,QHD display,,,1.3 GHz Quad-core,Black,"Dual-SIM, Dual Standby",N/a,N/a,,Android 4.2(Jelly Bean),,,,,,4.2,4.2,3.798328154645687
421,1541191857-938,QMobile,"QMobile
Noir Z8 Plus",Noir Z8 Plus,156,4.2 stars,523.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSPA 21.1/5.76 Mbps), 4G",No,microUSB,Yes + A-GPS support,v4.0 with A2DP,,5.0 MP Camera,,,,,,720 x 1280 pixels,5.5 inches,,,Qualcomm snapdragon,,LTE,HSDPA 850 / 1900 / 2100,,Black,Dual-SIM,N/a,N/a,,Android 4.4 (Kit KAt),,,,,,4.2,4.2,3.798328154645687
947,1541228387-35,Samsung Mobile,"Samsung
Galaxy J1",Galaxy J1,29,4.2 stars,519.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML,"3.5mm Audio Jack, MP4/H.264 player, MP3/WAV/eAAC+/Flac player, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 21.1/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)",Yes,microUSB v2.0,Yes + A-GPS support & Glonass,v4.0 with A2DP,,2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,480 x 800 pixels (~217 ppi pixel density),4.3 Inches,,Mali-400,Spreadtrum,,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",HSDPA 850 / 900 / 2100,,"White, Black, Blue","Dual SIM, Dual Standby, Micro-SIM",122 g,129 x 68.2 x 8.9 mm,,"Android OS, v4.4.4 (KitKat)",,,,,,4.2,4.2,3.7965085766372875
1052,1541231235-241,Nokia,"Nokia
108",108,31,4.2 stars,514.0,,,Yes,built-in,SMS(thread view),,,,,No,Yes,No,v3.0,,No,,,,,,128 x 160 pixels,1.8 inches,,,,,,,,"Black, White, Red, Blue, Yellow",,70.2 g,110.4 x 47 x 13.5 mm,,Nokia series 30,,,,,,4.2,4.2,3.7942107894882966
432,1541161784-313,VOICE,"Voice
Xtreme V40",Xtreme V40,0,4.2 stars,507.0,,,Yes,Built-in,"SMS, MMS, email","HTML, Opera","3.5mm audio jack, Speakerphone",,"GPRS class 12, EDGE class 12, 3G HSPDA R6 (21mbps, HSUPA 5.6mbps)",No,Yes,Yes + A-GPS support,v2.1 with EDR,,1.3 Mp cam,,,,,,540 X 960 pixels,4.5 inches,,,,,,WCDMA:2100 MHZ,,"White, Black, Blue",Dual-SIM,,134 x 67 x 10.5mm,,Android 4.2 Jelly Bean,,,,,,4.2,4.2,3.7909495673601894
221,1541190552-916,QMobile,"QMobile
Noir LT700 3GB",Noir LT700 3GB,119,4.2 stars,502.0,Average Rating is 4.2 stars - based on 502 user reviews.,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G HSPA, 4G LTE",No,Yes,Yes + A-GPS support,Yes with A2DP,,"5 MP Camera, auto focus",,,,,Dragon trail glass,1280 x 720 pixels (~294 ppi pixel density),5.0 inches,,,,"HD IPS Display, 16M colors, Multitouch",LTE,HSPA,,"White, Black",,137 g,143 x 70.3 x 7.9 mm,Amigo 3.1 UI,"Android OS, V5.1 (Lollipop)",,,,,,4.2,4.2,3.7885878443079966
154,1541188967-890,QMobile,"QMobile
Titan X700i",Titan X700i,86,4.2 stars,501.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G HSPA",No,microUSB,Yes + A-GPS support,v4.0,,2.0 MP Camera,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,1280 x 720 pixels,5.0 inches,"16GB built-in, 2GB (DDR3 RAM)",Mali400 MP2,,HD IPS LCD Display,,HSPA,,"White, silver, Gold",Dual SIM,157g,42.8 x 72.6 x 8.8mm,,Android 5.0 (Lollipop),,,,,,4.2,4.2,3.788112223318757
557,1541175124-665,Sony,"Sony
Xperia Z1",Xperia Z1,0,4.1 stars,661.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, IM, Push Mail",HTML5,3.5mm audio jack,,"GPRS, EDGE, 3G (HSDPA 42 Mbps, HSUPA 5.8 Mbps), 4G LTE",Yes,Yes,Yes + A-GPS support & Glonass,v4.0 with A2DP,,2MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, Wi-Fi hotspot",,,Triluminos display,Shatter proof scratch-resistant glass,1080 x 1920 pixels,5.0 inches,,"GPU, , Shatter proof and scratch-resistant glass, Active noise cancellation with dedicated mic, Organizer, Document viewer, Voice memo/dial, Predictive text input",Qualcomm MSM8974 Snapdragon 800,"16M colors, TFT Capacitive touchscreen, Multitouch (up to 10 fingers)",LTE 800 / 850 / 900 / 1700 / 1800 / 1900 / 2100 / 2600,HSDPA 850 / 900 / 1700 / 1900 / 2100,,"Black, White, Purple",,170 g,144 x 74 x 8.5 mm,,"Android OS, v4.3 (Jelly Bean)",,,,,,4.1,4.1,3.7879190957763162
395,1541189455-898,QMobile,"QMobile
Tablet QTab Q300",Tablet QTab Q300,100,4.2 stars,499.0,,,No,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",chrome,,"Price in Rs: 11,500    Price in USD: $100",3G,No,Yes,Yes + A-GPS support,Yes,,2.0 MP,,,,,,1024 x 600 pixels,7.0 inches,,,,"8GB built-in, 1GB RAM",,,SVGA Screen,"White, black",,N/a,191 x 107.5 x 9.5mm,,"Android OS, v4.2 (Jelly Bean))",,,,,,4.2,4.2,3.7871576745894844
878,1541162199-333,BlackBerry,"BlackBerry
Bold Touch 9900",Bold Touch 9900,0,4.1 stars,657.0,,,Yes,built-in + downloadable,"SMS, MMS, Email, Push Email, IM",HTML,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSDPA 14.4Mbps, HSUPA 5.76Mbps)",Yes,Yes,A-GPS Only,"v2.1 with A2DP, EDR",,No,,,,"Touch-sensitive controls
Optical trackpad",,640 x 480 pixels,2.8 inches,,,,,,HSDPA 850 / 1900 / 2100 / 800,1.2 GHz QC 8655,Black,,130 g,115 x 66 x 10.5 mm,,BlackBerry OS 7.0,,,,,,4.1,4.1,3.7866964477676044
1081,1541230847-213,Nokia,"Nokia
220",220,0,4.2 stars,491.0,,,No,built-in,"SMS(threaded view), MMS, Email, IM",WAP 2.0/xHTML,,,GPRS Up to 85.6 kbps,No,v1.1,No,v3.0,,No,,,,,,240 x 320 pixels (~167 ppi pixel density),2.4 inches,,,,,,,,Various,"Dual-SIM, Mini-SIM",83.6 g,,,116.4 x 50.3 x 13.2 mm,,,,,,4.2,4.2,3.7832948224219005
772,1541180137-745,QMobile,"QMobile
Noir M95",Noir M95,0,4.2 stars,480.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G HSPA",No,microUSB,Yes + A-GPS support,v4.0,,2.0 MP Camera,,,,,,960 x 540 pixels,5.0 inches,,,,,,WCDMA (900 / 2100),,"Black, White",Dual SIM,N/a,N/a,,Android 4.4.2(kit kat),,,,,,4.2,4.2,3.7778638307710013
1055,1541231158-232,Nokia,"Nokia
E6",E6,0,4.1 stars,625.0,,,Yes,built-in + downloadable,"SMS, MMS, Email, Push Email, IM","WAP 2.0/xHTML, HTML","3.5mm audio jack, Speakerphone",,"GPRS Class 33, EDGE Class 33, 3G (HSDPA 10.2Mbps, HSUPA 2.0Mbps)",No,Yes,Yes + A-GPS support,v3.0 with A2DP,,Yes,,,,,Gorilla Glass Display,640 x 480 pixels,2.4 inches,,2D/3D Graphics HW Accelerator with OpenVG1.1 and OpenGL ES 2.0,,,,,,"Black, White, Silver",,133 g,"115.5 x 59 x 10.5 mm, 66 cc",,Symbian Anna OS,,,,,,4.1,4.1,3.776559224641784
409,1541190308-912,QMobile,"QMobile
Noir S5",Noir S5,108,4.2 stars,463.0,"Price in Rs: 12,500    Price in USD: $108",,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSPA 21.1/5.76 Mbps)",No,microUSB,Yes + A-GPS support,v4.0 with A2DP,,"8.0 MP Camera, LED flash",,,,,,720 x 1280 pixels (~306 ppi pixel density),4.8 inches,,Mali-400,Mediatek MT6582,,,HSPA,,"Black, White","Dual-SIM, Dual Standby",111 g,141 x 68.4 x 7.8 mm,,"Android OS, v5.0 (Lollipop)",,,,,,4.2,4.2,3.7691863037130893
919,1541228593-69,Samsung Mobile,"Samsung
Galaxy S8",Galaxy S8,693,4.3 stars,375.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/DivX/XviD/H.265 player, MP3/WAV/eAAC+/FLAC player, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE-A (4CA) Cat16 1024/150 Mbps)",Yes,"v3.1, Type-C 1.0 reversible connector",Yes + A-GPS support & Glonass,"v5.0 with A2DP, LE, apt-X","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","8 MP f/1.7, autofocus, 1440p@30fps, dual video call, Auto HDR","12 MP, autofocus, LED flash",MicroSD Card (Support up to 256GB) (dedicated slot) - Single-SIM model,"64GB built-in, 4GB RAM","Always-on display, 3D Touch (home button only)",Corning Gorilla Glass 5,1440 x 2960 Pixels (~568 PPI),5.8 Inches,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch",Mali-G71 MP20,Exynos 8895 Octa,Octa-core (4 x 2.3 GHz + 4 x 1.7 GHz),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"SIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900","Midnight Black, Orchid Gray, Arctic Silver, Coral Blue, Maple Gold","Dual Sim, Dual Standby (Nano-SIM)",155 g,148.9 x 68.1 x 8 mm,TouchWiz UI,"Android OS, v7.0 (Nougat)",,,,,,4.3,4.3,3.768629327700575
781,1541193685-966,Apple iphone,"Apple
iphone 4S 32GB",iphone 4S 32GB,0,4.1 stars,600.0,,,Yes,built-in + downloadable,"iMessage, SMS (threaded view), MMS, Email, Push",HTML (Safari),"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSDPA 14.4 Mbps, HSUPA 5.8 Mbps)",No,Yes,Yes + A-GPS support,v4.0 with A2DP,,Yes,,,,,,640 x 960 pixels,3.5 inches,,,Apple A5,,,,1 GHz Dual-core ARM Cortex-A9,"Black, White",Micro-SIM,140 g,115.2 x 58.6 x 9.3 mm,,iOS 5,,,,,,4.1,4.1,3.7681712377289673
1008,1541230671-201,OPPO Mobile,"Oppo
F7",F7,286,4.3 stars,364.0,,,Yes,,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/H.264/FLAC player, MP3/eAAC+/WAV player, Speaker Phone",,"GPRS, Edge, 3G HSPA, 4G LTE",No,"microUSB 2.0, USB On-The-Go",Yes +  A-GPS support,"v4.2 with A2DP, LE",,"25 MP, f/2.0",,,"16 MP, f/1.8, autofocus, LED flash",,Corning Gorilla Glass 5,1080 x 2280 Pixels (~405 PPI),6.2 Inches,,Mali-G72 MP3,Mediatek Helio P60,,"LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)",HSDPA 850 / 900 / 1900 / 2100,,"Solar Red, Moonlight Silver, Diamond Black (","Dual Sim, Dual Standby (Nano-SIM)",158 g,156 x 75.3 x 7.8 mm,Color OS 4.0,Average Rating is 4.3 stars - based on 364 user reviews.,,,,,,4.3,4.3,3.760600375234512
817,1541178181-714,Lenovo Mobile,"Lenovo
S650",S650,126,4.2 stars,443.0,,,Yes,,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML,3.5mm audio jack,,"GPRS, EDGE, 3G (HSDPA, 21 Mbps; HSUPA, 5.76 Mbps)",No,microUSB v2.0,Yes + A-GPS support,v3.0 with A2DP,,VGA,,,,,,540 x 960 pixels (~234 ppi pixel density),4.7 inches,,Mali-400MP2,Mediatek MT6582,,,HSDPA 900 / 2100,,"Silver, White","Dual-SIM, Dual Standby",126 g,138 x 69.8 x 8.8 mm,,"Android OS, v4.2 (Jelly Bean)",,,,,,4.2,4.2,3.7585093843503405
1072,1541231254-243,Nokia,"Nokia
215",215,36,4.2 stars,442.0,,,No,built-in,"SMS, MMS",WAP 2.0/xHTML,,,"GPRS, EDGE",No,microUSB v2.0),No,v3.0,,No,,,,,,240 x 320 pixels (~167 ppi pixel density),2.4 inches (~30.8% screen to body ratio),,,,,,,,"Black, White, Green","Dual-SIM, Mini-SIM",78.6 g,,,116 x 50 x 12.9 mm,,,,,,4.2,4.2,3.7579616292440754
174,1541178793-724,Lenovo Mobile,"Lenovo
P70",P70,195,4.2 stars,442.0,,,Yes,Built-in,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,3.5mm audio jack,,"GPRS, EDGE, 3G (HSPA 21.1/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)",No,"microUSB v2.0, USB Host",Yes + A-GPS support,v4.0 with A2DP,,5.0 MP Camera,"Wi-Fi 802.11 b/g/n, hotspot",,,,,720 x 1280 pixels (~294 ppi pixel density),5.0 inches,,Mali-T760MP2,Mediatek MT6752,,"LTE band 1(2100), 3(1800), 7(2600), 20(800)",HSDPA 900 / 2100,,Midnight Blue,Dual-SIM,149 g,142 x 71.8 x 8.9 mm,,"Android OS, v4.4 (KitKat)",,,,,,4.2,4.2,3.7579616292440754
949,1541228304-25,Samsung Mobile,"Samsung
Galaxy A3",Galaxy A3,,4.1 stars,544.0,,,,,,,,,,,,,,,,,,,,,,"540 x 960 pixels, 4.5 inches (~245 ppi pixel density)

Sensors: Accelerometer, proximity, compass",HTML5,"1.2 GHz Quad-Core Cortex-A53, Qualcomm MSM8916 Snapdragon 410, GPU: Adreno 306",,,LTE,,"Bluetooth  v4.0 with A2DP, EDR, LE, USB (microUSB v2.0), WLAN (Wi-Fi 802.11 b/g/n, Wi-Fi hotspot), GPRS, EDGE, 3G (HSDPA, 42.2 Mbps; HSUPA, 5.76 Mbps), 4G (LTE, Cat4, 50 Mbps UL, 150 Mbps DL)","Pearl White, Midnight Black, Platinum Silver, Soft Pink, Light Blue, Champagne Gold",,110.3 g,,,130.1 x 65.5 x 6.9 mm,,,,,,4.1,4.1,3.7477060277210623
144,1541163976-460,Microsoft Mobile,"Microsoft
Lumia 430",Lumia 430,47,4.2 stars,409.0,"Price in Rs: 5,450    Price in USD: $47",,No,Built-in,"SMS (threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps)",No,microUSB v2.0,Yes + A-GPS support & Glonass,v4.0 with A2DP,,VGA 480p,,,,,,480 x 800 pixels (~235 ppi pixel density),4.0 inches (~58.8% screen to body ratio),,Adreno 302,Qualcomm MSM8210 Snapdragon 200,,,HSDPA 900 / 2100,,"Black, Orange","Dual-SIM, Dual Standby, Micro-SIM",127.9 g,120.5 x 63.2 x 10.6 mm,,"Microsoft Windows Phone 8.1, planned upgrade to Windows 10",,,,,,4.2,4.2,3.739090650932374
1043,1541230912-217,Nokia,"Nokia
1280",1280,0,4.1 stars,520.0,,,Yes,Built-in,SMS,No,,,,No,,No,No,,No,,,"3.5mm audio jack, Speakerphone",,,96 x 68 pixels,1.3 inches,No,,,No,,,,"Black, Gray, Blue, Orchid",,81.9 g,,,"107.2 x 45.1 x 15.3 mm, 62.3 cc",,,,,,4.1,4.1,3.738141485487245
1000,1541230599-191,OPPO Mobile,"Oppo
F1",F1,208,4.2 stars,407.0,(Li-Po Non removable) 2500 mAh Battery,,Yes,built-in + downloadable,"SMS (threaded view), MMS, Email, Push Email",HTML5,"3.5mm Audio Jack, MP4/H.264/FLAC player, MP3/eAAC+/WAV player, Speaker Phone","Accelerometer, proximity, compass","GPRS, EDGE, 3G HSPA, 4G LTE Cat4 150/50 Mbps",No,"microUSB v2.0, USB Host",Yes + A-GPS support,v4.0 with A2DP,,"8 MP, f/2.0, 1/4"" sensor size, 1080p",,,,,Corning Gorilla Glass 4,720 x 1280 Pixels (~294 PPI),5.0 Inches,"IPS LCD capacitive touchscreen, 16M colors, Multitouch",Adreno 405,Qualcomm MSM8939v2 Snapdragon 616,Octa core (4 x 1.7 GHz Cortex A53 + 4 x 1.0 GHz Cortex A53),"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",HSDPA 850 / 900 / 1900 / 2100,"SIM1: GSM 900 / 1800 / 1900
SIM2: GSM 900 / 1800 / 1900","White, Gold","Dual Sim, Dual Standby (Micro/Nano-SIM)",134 g,143.5 x 71 x 7.3 mm,Color OS 2.1,"Android OS, v5.1 (Lollipop)",,,,,,4.2,4.2,3.737895036537905
300,1541180075-744,QMobile,"QMobile
Noir S2",Noir S2,0,4.2 stars,398.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G",No,microUSB,Yes + A-GPS support,"v4.0 with A2DP, LE",,5.0 MP Camera,,,,,,1280 x 720 pixels,5.0 inches,,,,,,WCDMA (900 / 2100),,Black,Dual SIM,N/a,N/a,,Android V5.1 (Lollipop),,,,,,4.2,4.2,3.7324371038985893
546,1541165566-514,HTC,"HTC
One",One,364,4.1 stars,499.0,Up to 500 h,Up to 27 h,Yes,built-in + downloadable,"SMS (threaded view), MMS, Email, Push Email",HTML5,"3.5mm audio jack, Speakerphone","Accelerometer, gyro, proximity & compass","GPRS, EDGE, 3G (HSPA+; LTE, Cat3, 50 Mbps UL, 100 Mbps DL), 4G LTE",Yes,Yes,Yes + A-GPS support & Glonass,v4.0 with A2DP,,"(2.1 MP, 1080p@30fps), HDR",,,"4MP, 2688x1520 pixels, autofocus, LED flash",,Corning Gorilla Glass 2,1080 x 1920 pixels,4.7 inches,,,Qualcomm APQ8064T Snapdragon 600,Quad-core 1.7 GHz Krait 300,LTE 800 / 1800 / 2600,HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"Black, Silver, Red",Micro-SIM,143 g,137.4 x 68.2 x 9.3 mm,HTC Sense UI v5,"Android OS, v4.1.2 (Jelly Bean), upgradable to v4.2.2 (Jelly Bean)",,,,,,4.1,4.1,3.729336121866425
751,1541160627-231,G'Five,"GFive
Bravo G95",Bravo G95,65,4.1 stars,498.0,,,No,Built-in,"SMS(threaded view), MMS, Email, Push Email, IM & Gfive Mall",HTML (Adobe Flash),,Up to  350h,"GPRS, EDGE, 3G (HSDPA 14.4 Mbps, HSUPA 5.76 Mbps)",No,Yes,No,"v3.0 with A2DP, EDR","3.5mm audio jack, Speakerphone",No,,,,,,,5.3 inches,"8MP, 2048x1536 pixels, autofocus",PowerVR SGX531,MTK6575,,,,,Black / White,,211 g,149.5 x 83 x 10.9mm,,"Android OS, v4.0.3 (Ice cream Sandwich)",,,,,,4.1,4.1,3.72890611736743
94,1541173174-634,LG Mobile,"LG
Optimus G",Optimus G,457,4.1 stars,496.0,,,Yes,Built-in + Downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM, RSS","HTML5, Adobe Flash",,,"GPRS 12 (4+1/3+2/2+3/1+4 slots), EDGE Class 12",Yes,Yes,No,Yes,,(1.3MP),,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, Wi-Fi hotspot",,,768 x 1280 pixels,4.7 inches,"32GB built-in, 2GB RAM",,Qualcomm MDM9615/APQ8064,"True HD-IPS LCD capacitive touchscreen, 16M colors",LTE 800 / 900 / 1800 / 2100 / 2600,HSDPA 900 / 2100 - E975,,"Black, White",,145 g,131.9 x 68.9 x 8.5 mm,,"Android OS, v4.1.2 (Jelly Bean)",,,,,,4.1,4.1,3.728043108338052
1047,1541231132-229,Nokia,"Nokia
208",208,0,4.1 stars,496.0,,,No,built-in,"SMS(threaded view), MMS, Email, IM","WAP 2.0 / xHTML, HTML",,Up to 490 h,"GPRS (85.6 kbps), EDGE (236.8 kbps), 3G",No,Yes,No,v3.0 with A2DP,"3.5mm audio jack, Speakerphone",No,,,,,,240 x 320 pixels,2.4 inches,"1.3MP, 1280 x 960 pixels",,,"256MB built-in, 64MB RAM",,HSDPA 900 / 2100,"TFT, 256K colors","Cyan , Red, Yellow, Black, White",Dual-SIM,89.6 g,,,"114.2 x 50.9 x 12.8 mm, 65.2 cc",,,,,,4.1,4.1,3.728043108338052
413,1541175063-664,Sony,"Sony
Xperia C",Xperia C,0,4.1 stars,495.0,Average Rating is 4.1 stars - based on 495 user reviews.,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, IM, Push Mail",HTML5,3.5mm audio jack,,"GPRS, EDGE, 3G (HSDPA 42.2 Mbps, HSUPA 11.5 Mbps)",No,Yes,Yes + A-GPS support,v4.0 with A2DP,,VGA Camera,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot",,,540 x 960 pixels,5.0 inches,4GB built-in 1GB RAM,PowerVR SGX544,MTK MT6589,"16M colors, TFT capacitive touchscreen",,HSDPA 900 / 2100,Quad-core 1.2 GHz,"Black, White, Purple",,153 g,141.5 x 74.2 x 8.9 mm,,"Android OS, v4.2.2 (Jelly Bean)",,,,,,4.1,4.1,3.7276100968227297
1082,1541231192-236,Nokia,"Nokia
225",225,0,4 stars,670.0,,,No,built-in,"SMS(threaded view), MMS, Email, IM",WAP 2.0/xHTML,,,"GPRS Up to 85.6, EDGE Up to 236.8 kbps",No,v2.0,No,v3.0,,No,,,,,,240 x 320 pixels (~143 ppi pixel density),2.8 inches,,,,,,,,"Red, yellow, green, black, white",Mini-SIM,99.8 g,,,124 x 55.5 x 10.4 mm,,,,,,4,4.0,3.7258385620606624
529,1541164429-492,HTC,"HTC
Desire S",Desire S,0,4.1 stars,490.0,24500 Rs. (Without Warranty),,Yes,built-in,"SMS, MMS, Email, Push Email, IM",HTML,"3.5mm audio jack, Speakerphone",,"GPRS (114 kbps), EDGE (560 kbps), 3G (	HSDPA 14.4 Mbps, HSUPA 5.76 Mbps)",No,Yes,Yes + A-GPS support,"v2.1 with A2DP, EDR",,Yes,,,,Touch-sensitive controls,Corning Gorilla Glass,480 x 800 pixels,3.7 inches,,,Qualcomm MSM8255 Snapdragon,,,,1 GHz Scorpion,Black,,130 g,115 x 59.8 x 11.6 mm,HTC Sense UI,"Android OS, v2.3 (Gingerbread)",,,,,,4.1,4.1,3.725429828068764
54,1541161767-312,VOICE,"Voice
Xtreme V10",Xtreme V10,0,4.2 stars,367.0,,,Yes,built-in,"SMS (threaded view), MMS, Email, Push Email, IM",HTML,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE",No,2,Yes + A-GPS support & Glonass,v3.0 with EDR,Gsensor,0.3 MP,,,,,,320 x 480 pixels,3.5 inches,"3.2MP, Flash Light",,,,,,1.2 Ghz Dual Core,Black,Dual-SIM,N/a,113.5 x 59 x 12.1mm,,"Android OS, v4.2 (Jelly Bean)",,,https://www.whatmobile.com.pk/Nokia_Mobiles_Prices,"Nokia
220",https://www.whatmobile.com.pk/Nokia_220,4.2,4.2,3.7126088552267094
622,1541179954-742,QMobile,"QMobile
LinQ L20",LinQ L20,0,4.2 stars,364.0,,,Yes,Built-in,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,3.5mm audio jack,,"GPRS, EDGE, 3G (HSPA)",No,microUSB v2.0,Yes + A-GPS support,v4.0 with A2DP,,5 MP Camera,,,,,Corning Gorilla Glass 3,720 x 1280 pixels (~294 ppi pixel density),5.0 inches,,Mali-450MP4,Mediatek MT6592M,"IPS capacitive touchscreen, 16M colors, Multitouch",,HSPA,1.4 GHz Octa-Core Cortex-A7,Black,"Dual-SIM, Dual Standby",,144.3 x 72 x 8.7 mm,,"Android OS, v5.1 (Lollipop)",,,,,,4.2,4.2,3.7106003752345122
868,1541172504-623,LG Mobile,"LG
G4",G4,275,4 stars,596.0,,up to 10 hrs,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,,"Accelerometer, gyro, proximity, compass, barometer","GPRS class 12, EDGE class 12, (HSDPA), 4G LTE",No,"microUSB v2.0 (SlimPort), USB Host",A-GPS support & Glonass,"v4.1 with A2DP, LE, apt-X",,8.0 MP Camera,,,"16 MP, 5312 x 2988 pixels, phase detection/laser autofocus, dual-LED (dual tone) flash",,Corning Gorilla Glass 4,1440 x 2560 pixels (~538 ppi pixel density),5.5 inches,,Adreno 418,Qualcomm MSM8992 Snapdragon 808,,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",HSDPA 850 / 900 / 1900 / 2100,,"Grey, White, Gold, Leather Black, Leather Brown, Leather RedGrey, White, Gold, Leather Black, Leather Brown, Leather Re",Dual-SIM,155 g,148.9 x 76.1 x 9.8 mm,,"Android OS, v5.1 (Lollipop)",,,,,,4,4.0,3.7047052845528383
